Nom,Catégories,Adresse
BENBATTOUCHE FOUAD TAREK,Droit administratif | Droit bancaire | Droit civil | Droit commercial | Droit de l'environnement | Droit de l'immobilier | Droit de la consommation | Droit de la santé | Droit des assurances | Droit des entreprises | Droit des transports | Droit du sport | Droit du travail | Droit familial | Droit pénal | Droit routier,"N⁰ 30, Rue des Frères BOUABSA, Batna"
Maitre MISSOUM KAMEL,Droit administratif | Droit commercial | Droit de l'environnement | Droit de l'immobilier | Droit des assurances | Droit des transports | Droit du sport | Droit pénal | Droit routier,"W49A, Rue Kaloua el cheref Hassi Mameche, Algérie"
Maitre REDHOUANE BRANECI,Droit administratif | Droit bancaire | Droit civil | Droit familial | Droit pénal,"1 rue ezzroug ezzraimi, ( place ettoute) Blida, Algerie"
Maitre MOHAMED DIF,Droit administratif | Droit bancaire | Droit civil | Droit commercial | Droit de l'environnement | Droit de l'immobilier | Droit de la consommation | Droit de la santé | Droit des assurances | Droit des entreprises | Droit des transports | Droit du sport | Droit du travail | Droit familial | Droit pénal | Droit routier,"Hassi Bahbah 17000, Djelfa, Algérie"
Maitre HARKATI ALI,Droit administratif | Droit civil | Droit commercial | Droit de l'immobilier | Droit de la consommation | Droit de la santé | Droit des assurances | Droit des entreprises | Droit des transports | Droit du travail | Droit familial | Droit pénal | Droit routier,"Messaâd,Djelfa , Algérie"
Maitre CHERIBET BADREDDINE,Droit administratif | Droit civil | Droit commercial | Droit de l'immobilier | Droit des assurances | Droit des entreprises | Droit des transports | Droit du travail | Droit familial | Droit pénal | Droit routier,"Skikda, Algérie"
Maitre REBIBANE NABIL,Droit administratif | Droit civil | Droit commercial | Droit de l'environnement | Droit de l'immobilier | Droit des entreprises | Droit des transports | Droit du travail | Droit familial | Droit pénal | Droit routier,"706,Coop cilfa ben mred Bordj el kiffan , Alger , Algérie"
Maitre HAOUAM NACIM,Droit bancaire | Droit civil | Droit commercial | Droit de la consommation | Droit de la santé | Droit des assurances | Droit des entreprises | Droit du travail | Droit pénal | Droit routier,a côté du tribunal de Ouargla
Maitre ZEGHBA ABDELKADER,Droit civil | Droit de l'immobilier | Droit des assurances,N°6 Rue 8  Tissemsilt Algérie
Maitre HADJ NACER,Droit civil | Droit commercial | Droit de la consommation | Droit des entreprises | Droit du travail | Droit pénal,"60,rue Chenoua Hydra ,Alger,Algèrie"
